0.710	-0.603	-0.596	0.138
0.710	-0.602	-0.604	0.141
0.720	-0.599	-0.603	0.149
0.720	-0.605	-0.612	0.150
0.730	-0.601	-0.622	0.149
0.730	-0.604	-0.630	0.143
0.740	-0.589	-0.626	0.135
0.740	-0.585	-0.627	0.136
0.750	-0.605	-0.647	0.118
0.750	-0.615	-0.638	0.138
0.760	-0.615	-0.626	0.137
0.760	-0.605	-0.635	0.135
0.770	-0.602	-0.646	0.139
0.770	-0.599	-0.646	0.143
0.780	-0.595	-0.646	0.144
0.780	-0.599	-0.642	0.146
0.790	-0.600	-0.647	0.159
0.790	-0.600	-0.649	0.151
0.800	-0.603	-0.654	0.165
0.800	-0.608	-0.658	0.154
0.810	-0.612	-0.671	0.145
0.810	-0.619	-0.677	0.157
0.820	-0.612	-0.683	0.163
0.820	-0.608	-0.681	0.153
0.830	-0.621	-0.688	0.137
0.830	-0.630	-0.695	0.152
0.840	-0.635	-0.691	0.155
0.840	-0.634	-0.703	0.153
0.850	-0.631	-0.713	0.165
0.850	-0.630	-0.722	0.165
0.860	-0.633	-0.727	0.172
0.860	-0.623	-0.713	0.164
0.870	-0.629	-0.714	0.174
0.870	-0.616	-0.717	0.179
0.880	-0.618	-0.723	0.182
0.880	-0.621	-0.730	0.170
0.890	-0.622	-0.740	0.173
0.890	-0.607	-0.740	0.175
0.900	-0.610	-0.744	0.185
0.900	-0.614	-0.741	0.184
0.910	-0.611	-0.746	0.194
0.910	-0.609	-0.742	0.200
0.920	-0.603	-0.749	0.178
0.920	-0.591	-0.740	0.186
0.930	-0.591	-0.731	0.175
0.930	-0.597	-0.737	0.168
0.940	-0.602	-0.753	0.168
0.940	-0.596	-0.778	0.162
0.950	-0.583	-0.779	0.162
0.950	-0.580	-0.774	0.178
0.960	-0.580	-0.796	0.164
0.960	-0.586	-0.801	0.166
0.970	-0.599	-0.787	0.176
0.970	-0.577	-0.802	0.173
0.980	-0.581	-0.811	0.184
0.980	-0.594	-0.814	0.182
0.990	-0.608	-0.809	0.197
0.990	-0.612	-0.803	0.197
1.000	-0.612	-0.811	0.201
1.000	-0.617	-0.810	0.215
1.010	-0.620	-0.822	0.213
1.010	-0.616	-0.826	0.228
1.020	-0.620	-0.835	0.214
1.020	-0.622	-0.838	0.212
1.030	-0.606	-0.840	0.206
1.030	-0.621	-0.843	0.205
1.040	-0.621	-0.856	0.212
1.040	-0.613	-0.859	0.217
1.050	-0.610	-0.860	0.223
1.050	-0.607	-0.856	0.214
1.060	-0.608	-0.850	0.221
1.060	-0.603	-0.857	0.219
1.070	-0.597	-0.854	0.227
1.070	-0.581	-0.855	0.217
1.080	-0.585	-0.862	0.212
1.080	-0.586	-0.873	0.205
1.090	-0.595	-0.877	0.199
1.090	-0.595	-0.893	0.192
1.100	-0.578	-0.887	0.198
1.100	-0.572	-0.900	0.187
1.110	-0.571	-0.898	0.182
1.110	-0.574	-0.916	0.183
1.120	-0.568	-0.909	0.186
1.120	-0.576	-0.909	0.188
1.130	-0.576	-0.914	0.197
1.130	-0.573	-0.922	0.189
1.140	-0.588	-0.927	0.196
1.140	-0.581	-0.925	0.203
1.150	-0.587	-0.923	0.201
1.150	-0.591	-0.929	0.191
1.160	-0.605	-0.925	0.189
1.160	-0.609	-0.925	0.185
1.170	-0.609	-0.925	0.186
1.170	-0.607	-0.929	0.186
1.180	-0.611	-0.930	0.201
1.180	-0.616	-0.934	0.200
1.190	-0.624	-0.933	0.199
1.190	-0.629	-0.936	0.194
1.200	-0.620	-0.946	0.194
1.200	-0.616	-0.957	0.193
1.210	-0.615	-0.945	0.196
1.210	-0.628	-0.954	0.196
1.220	-0.618	-0.947	0.192
1.220	-0.605	-0.937	0.204
1.230	-0.607	-0.952	0.201
1.230	-0.617	-0.949	0.209
1.240	-0.628	-0.950	0.186
1.240	-0.632	-0.963	0.194
1.250	-0.635	-0.957	0.198
1.250	-0.647	-0.970	0.195
1.260	-0.655	-0.977	0.198
1.260	-0.645	-0.978	0.190
1.270	-0.655	-0.973	0.196
1.270	-0.651	-0.987	0.201
1.280	-0.655	-0.991	0.205
1.280	-0.652	-1.013	0.203
1.290	-0.657	-1.020	0.206
1.290	-0.670	-1.032	0.204
1.300	-0.665	-1.036	0.219
1.300	-0.657	-1.031	0.226
1.310	-0.661	-1.032	0.233
1.310	-0.661	-1.024	0.239
1.320	-0.658	-1.018	0.232
1.320	-0.657	-1.030	0.241
1.330	-0.658	-1.030	0.240
1.330	-0.659	-1.033	0.225
1.340	-0.657	-1.039	0.231
1.340	-0.655	-1.051	0.242
1.350	-0.664	-1.041	0.260
1.350	-0.673	-1.040	0.268
1.360	-0.681	-1.047	0.265
1.360	-0.688	-1.043	0.270
1.370	-0.701	-1.054	0.277
1.370	-0.709	-1.054	0.288
1.380	-0.702	-1.053	0.281
1.380	-0.704	-1.056	0.285
1.390	-0.704	-1.066	0.285
1.390	-0.716	-1.065	0.303
1.400	-0.713	-1.076	0.307
1.400	-0.703	-1.090	0.304
1.410	-0.689	-1.089	0.301
1.410	-0.688	-1.081	0.300
1.420	-0.703	-1.094	0.299
1.420	-0.689	-1.095	0.299
1.430	-0.696	-1.109	0.294
1.430	-0.684	-1.096	0.297
1.440	-0.684	-1.092	0.295
1.440	-0.687	-1.102	0.308
1.450	-0.684	-1.104	0.297
1.450	-0.680	-1.115	0.287
1.460	-0.676	-1.121	0.290
1.460	-0.678	-1.118	0.274
1.470	-0.695	-1.134	0.268
1.470	-0.697	-1.133	0.270
1.480	-0.703	-1.136	0.267
1.480	-0.706	-1.132	0.270
1.490	-0.716	-1.127	0.285
1.490	-0.716	-1.138	0.287
1.500	-0.722	-1.141	0.285
1.500	-0.728	-1.142	0.292
1.510	-0.723	-1.137	0.314
1.510	-0.720	-1.137	0.321
1.520	-0.724	-1.145	0.320
1.520	-0.740	-1.137	0.306
1.530	-0.746	-1.137	0.310
1.530	-0.740	-1.140	0.309
1.540	-0.738	-1.148	0.302
1.540	-0.731	-1.149	0.292
1.550	-0.743	-1.165	0.297
1.550	-0.738	-1.173	0.302
1.560	-0.737	-1.174	0.312
1.560	-0.730	-1.176	0.315
1.570	-0.724	-1.176	0.327
1.570	-0.718	-1.194	0.340
1.580	-0.702	-1.190	0.345
1.580	-0.705	-1.191	0.343
1.590	-0.707	-1.204	0.361
1.590	-0.699	-1.201	0.362
1.600	-0.702	-1.205	0.358
1.600	-0.705	-1.217	0.347
1.610	-0.705	-1.226	0.342
1.610	-0.713	-1.243	0.342
1.620	-0.718	-1.244	0.358
1.620	-0.723	-1.242	0.349
1.630	-0.737	-1.246	0.350
1.630	-0.741	-1.245	0.348
1.640	-0.740	-1.248	0.351
1.640	-0.746	-1.267	0.341
1.650	-0.746	-1.268	0.351
1.650	-0.736	-1.277	0.355
1.660	-0.745	-1.270	0.352
1.660	-0.755	-1.275	0.344
1.670	-0.763	-1.273	0.340
1.670	-0.755	-1.274	0.362
1.680	-0.740	-1.277	0.378
1.680	-0.736	-1.278	0.390
1.690	-0.740	-1.278	0.408
1.690	-0.748	-1.287	0.403
1.700	-0.743	-1.287	0.407
1.700	-0.743	-1.286	0.408
1.710	-0.743	-1.299	0.389
1.710	-0.752	-1.300	0.399
1.720	-0.753	-1.303	0.401
1.720	-0.758	-1.318	0.390
1.730	-0.771	-1.320	0.381
1.730	-0.763	-1.334	0.376
1.740	-0.755	-1.319	0.342
1.740	-0.759	-1.333	0.323
1.750	-0.768	-1.349	0.306
1.750	-0.778	-1.352	0.268
1.760	-0.793	-1.350	0.237
1.760	-0.791	-1.344	0.206
1.770	-0.791	-1.341	0.182
1.770	-0.785	-1.334	0.133
1.780	-0.779	-1.333	0.079
1.780	-0.787	-1.330	0.036
1.790	-0.801	-1.343	0.003
1.790	-0.792	-1.348	-0.056
1.800	-0.800	-1.363	-0.102
1.800	-0.816	-1.365	-0.138
1.810	-0.816	-1.373	-0.188
1.810	-0.816	-1.390	-0.236
1.820	-0.815	-1.394	-0.277
1.820	-0.808	-1.407	-0.326
1.830	-0.806	-1.418	-0.361
1.830	-0.817	-1.407	-0.390
1.840	-0.822	-1.407	-0.438
1.840	-0.823	-1.413	-0.492
1.850	-0.840	-1.412	-0.542
1.850	-0.836	-1.418	-0.577
1.860	-0.827	-1.417	-0.637
1.860	-0.838	-1.428	-0.686
1.870	-0.847	-1.431	-0.735
1.870	-0.849	-1.426	-0.787
1.880	-0.854	-1.438	-0.836
1.880	-0.841	-1.452	-0.868
1.890	-0.840	-1.467	-0.911
1.890	-0.834	-1.474	-0.954
1.900	-0.828	-1.479	-0.995
1.900	-0.837	-1.471	-1.041
1.910	-0.834	-1.480	-1.090
1.910	-0.823	-1.477	-1.134
1.920	-0.810	-1.482	-1.172
1.920	-0.799	-1.488	-1.214
1.930	-0.788	-1.491	-1.257
1.930	-0.783	-1.506	-1.296
1.940	-0.780	-1.504	-1.330
1.940	-0.777	-1.507	-1.381
1.950	-0.776	-1.510	-1.422
1.950	-0.795	-1.527	-1.459
1.960	-0.797	-1.532	-1.511
1.960	-0.797	-1.546	-1.552
1.970	-0.793	-1.541	-1.611
1.970	-0.789	-1.548	-1.642
1.980	-0.793	-1.551	-1.687
1.980	-0.787	-1.545	-1.734
1.990	-0.786	-1.534	-1.785
1.990	-0.785	-1.533	-1.833
2.000	-0.793	-1.541	-1.889
2.000	-0.793	-1.541	-1.931
2.010	-0.779	-1.560	-1.987
2.010	-0.796	-1.569	-2.011
2.020	-0.796	-1.587	-2.063
2.020	-0.796	-1.597	-2.122
2.030	-0.788	-1.600	-2.171
2.030	-0.780	-1.608	-2.224
2.040	-0.787	-1.607	-2.277
2.040	-0.788	-1.600	-2.324
2.050	-0.798	-1.617	-2.343
2.050	-0.806	-1.612	-2.385
2.060	-0.809	-1.604	-2.422
2.060	-0.810	-1.608	-2.460
2.070	-0.809	-1.610	-2.505
2.070	-0.813	-1.621	-2.546
2.080	-0.819	-1.614	-2.585
2.080	-0.822	-1.610	-2.635
2.090	-0.811	-1.621	-2.687
2.090	-0.814	-1.617	-2.728
2.100	-0.817	-1.629	-2.775
2.100	-0.817	-1.637	-2.816
2.110	-0.824	-1.639	-2.866
2.110	-0.814	-1.648	-2.907
2.120	-0.815	-1.645	-2.952
2.120	-0.812	-1.647	-3.003
2.130	-0.830	-1.665	-3.061
2.130	-0.825	-1.669	-3.094
2.140	-0.823	-1.672	-3.124
2.140	-0.821	-1.671	-3.166
2.150	-0.842	-1.693	-3.211
2.150	-0.838	-1.691	-3.245
2.160	-0.847	-1.685	-3.304
2.160	-0.840	-1.693	-3.353
2.170	-0.837	-1.705	-3.394
2.170	-0.848	-1.713	-3.429
2.180	-0.855	-1.703	-3.474
2.180	-0.856	-1.717	-3.501
2.190	-0.846	-1.716	-3.551
2.190	-0.836	-1.728	-3.596
2.200	-0.840	-1.750	-3.637
2.200	-0.846	-1.748	-3.686
2.210	-0.848	-1.761	-3.731
2.210	-0.851	-1.757	-3.760
2.220	-0.854	-1.764	-3.799
2.220	-0.860	-1.765	-3.854
2.230	-0.855	-1.767	-3.889
2.230	-0.849	-1.763	-3.946
2.240	-0.855	-1.777	-3.992
2.240	-0.855	-1.782	-4.047
2.250	-0.869	-1.780	-4.090
2.250	-0.881	-1.760	-4.133
2.260	-0.875	-1.752	-4.171
2.260	-0.872	-1.760	-4.209
2.270	-0.862	-1.763	-4.238
2.270	-0.872	-1.757	-4.280
2.280	-0.877	-1.763	-4.317
2.280	-0.884	-1.769	-4.353
2.290	-0.873	-1.772	-4.394
2.290	-0.873	-1.766	-4.434
2.300	-0.870	-1.760	-4.471
2.300	-0.870	-1.759	-4.523
2.310	-0.874	-1.758	-4.568
2.310	-0.872	-1.755	-4.615
2.320	-0.872	-1.769	-4.664
2.320	-0.864	-1.773	-4.703
2.330	-0.862	-1.780	-4.739
2.330	-0.847	-1.777	-4.790
2.340	-0.867	-1.783	-4.829
2.340	-0.851	-1.768	-4.881
2.350	-0.857	-1.767	-4.925
2.350	-0.841	-1.762	-4.956
2.360	-0.844	-1.779	-5.006
2.360	-0.838	-1.779	-5.065
2.370	-0.844	-1.767	-5.114
2.370	-0.846	-1.778	-5.163
2.380	-0.863	-1.774	-5.186
2.380	-0.857	-1.778	-5.238
2.390	-0.860	-1.792	-5.283
2.390	-0.849	-1.810	-5.321
2.400	-0.846	-1.810	-5.368
2.400	-0.856	-1.812	-5.413
2.410	-0.865	-1.810	-5.457
2.410	-0.865	-1.815	-5.504
2.420	-0.872	-1.809	-5.547
2.420	-0.869	-1.820	-5.587
2.430	-0.879	-1.831	-5.614
2.430	-0.885	-1.828	-5.649
2.440	-0.892	-1.820	-5.693
2.440	-0.894	-1.833	-5.734
2.450	-0.895	-1.851	-5.781
2.450	-0.895	-1.839	-5.830
2.460	-0.905	-1.837	-5.869
2.460	-0.913	-1.849	-5.907
2.470	-0.914	-1.859	-5.942
2.470	-0.899	-1.865	-5.976
2.480	-0.891	-1.864	-6.021
2.480	-0.886	-1.847	-6.071
2.490	-0.896	-1.860	-6.116
2.490	-0.886	-1.866	-6.169
2.500	-0.893	-1.874	-6.217
2.500	-0.901	-1.868	-6.269
2.510	-0.915	-1.861	-6.314
2.510	-0.916	-1.859	-6.364
2.520	-0.911	-1.860	-6.411
2.520	-0.928	-1.870	-6.442
2.530	-0.936	-1.858	-6.485
2.530	-0.941	-1.864	-6.517
2.540	-0.946	-1.839	-6.569
2.540	-0.939	-1.834	-6.627
2.550	-0.939	-1.840	-6.670
2.550	-0.952	-1.848	-6.712
2.560	-0.959	-1.849	-6.758
2.560	-0.961	-1.859	-6.800
2.570	-0.957	-1.864	-6.827
2.570	-0.949	-1.853	-6.870
2.580	-0.946	-1.863	-6.901
2.580	-0.947	-1.861	-6.943
2.590	-0.941	-1.872	-7.010
2.590	-0.947	-1.872	-7.061
2.600	-0.955	-1.889	-7.102
2.600	-0.954	-1.895	-7.148
2.610	-0.960	-1.900	-7.190
